YOOX NET-A-PORTER GROUP,FOTOMODA SRL,2,6
YOOX NET-A-PORTER GROUP,CODERDOJO,2,6
YOOX NET-A-PORTER GROUP,TEORESI GROUP,2,6
YOOX NET-A-PORTER GROUP,KION,2,4
YOOX NET-A-PORTER GROUP,LVMH,3,6
YOOX NET-A-PORTER GROUP,STELLA MCCARTNEY,2,6
YOOX NET-A-PORTER GROUP,BITBANG,2,96
YOOX NET-A-PORTER GROUP,VANS A VF COMPANY,4,27
YOOX NET-A-PORTER GROUP,ASYSTEL SPA,2,96
YOOX NET-A-PORTER GROUP,KIRIO SRL,2,96
YOOX NET-A-PORTER GROUP,SILVIAN HEACH - ARAV FASHION SPA,2,98
YOOX NET-A-PORTER GROUP,MAISON MARGIELA,2,98
YOOX NET-A-PORTER GROUP,BIOAMBASSADOR,2,98
YOOX NET-A-PORTER GROUP,PALLETWAYS SPA,2,96
YOOX NET-A-PORTER GROUP,SEASIDE,2,96
YOOX NET-A-PORTER GROUP,STEFANINI,2,96
YOOX NET-A-PORTER GROUP,TEAM TRONIC SRL,2,96
YOOX NET-A-PORTER GROUP,APEX-NET,2,4
YOOX NET-A-PORTER GROUP,COOPERATIVA MR JOB,2,141
SOMEC SPA,NICE SPA,3,135
SOMEC SPA,OXIN SRL,2,135
RIZZANI DE ECCHER,DANIELI GROUP,2,135
RIZZANI DE ECCHER,FINCANTIERI SPA,2,11
RIZZANI DE ECCHER,ASTALDI SPA,3,48
RIZZANI DE ECCHER,SOCIETÀ ITALIANA PER CONDOTTE D'ACQUA SPA,2,48
RAZORFISH HEALTHWARE,H3G,4,4
RAZORFISH HEALTHWARE,TMD FRICTION ESCO GMBH,2,4
TMD FRICTION ESCO GMBH,H3G,2,4
BENETTON GROUP SPA,GRUPPO COIN,7,27
BENETTON GROUP SPA,MAXMARA,4,27
BENETTON GROUP SPA,FREELANCE,3,11
BENETTON GROUP SPA,H&M GROUP,5,27
BENETTON GROUP SPA,OVS SPA,5,27
BENETTON GROUP SPA,UNIVERSITÀ CATTOLICA DI MILANO,2,80
BENETTON GROUP SPA,ZARA,2,141
BENETTON GROUP SPA,GRUPPO GENERALI SPA,4,42
BENETTON GROUP SPA,WIND TRE SPA,2,8
BENETTON GROUP SPA,GRUPPO GIORGIO ARMANI,2,27
BENETTON GROUP SPA,LEROY MERLIN SRL,2,116
BENETTON GROUP SPA,PWC SPA,2,11
BENETTON GROUP SPA,LUXOTTICA GROUP SPA,5,137
BENETTON GROUP SPA,BESTSELLER,2,27
BENETTON GROUP SPA,CALZEDONIA GROUP,3,27
BENETTON GROUP SPA,DE'LONGHI GROUP,2,137
BENETTON GROUP SPA,GRUPPO PAM SPA,3,27
BENETTON GROUP SPA,INDITEX,4,141
BENETTON GROUP SPA,DELOITTE,4,11
BENETTON GROUP SPA,MANGO,2,27
BENETTON GROUP SPA,DEUTSCHE BANK,2,41
BENETTON GROUP SPA,BOSTON CONSULTING GROUP (BCG),2,11
BENETTON GROUP SPA,GEOX SPA,3,11
BENETTON GROUP SPA,KPMG SPA,2,96
BENETTON GROUP SPA,VEEPEE,2,80
